area,area_type,district_code,house_number,legal_description,locality,nature_of_property,postcode,primary_purpose,property_id,property_name,strata_lot_number,street_name,unit_number,zoning
,,139,217,8/SP58827,CONCORD WEST,R,2138,RESIDENCE,1456050,,8,QUEEN ST,8,
,,139,211,1/SP7215,CONCORD WEST,R,2138,RESIDENCE,1456061,,1,QUEEN ST,1,
,,139,123,5/SP14684,NORTH STRATHFIELD,R,2137,RESIDENCE,1456110,,5,QUEEN ST,5,
211.0,M,139,57,2/SP60479,NORTH STRATHFIELD,R,2137,RESIDENCE,1456142,,2,QUEEN ST,2,
,,139,17,4/SP5677,NORTH STRATHFIELD,R,2137,RESIDENCE,1456166,,4,QUEEN ST,4,
,,139,11,33/SP56097,LIBERTY GROVE,R,2138,RESIDENCE,1456412,,33,SETTLERS BVD,33,
111.5,M,139,5,3/SP7239,NORTH STRATHFIELD,R,2137,RESIDENCE,1456525,,3,SHIPLEY AVE,3,
,,139,3,3/SP5036,NORTH STRATHFIELD,R,2137,RESIDENCE,1456530,,3,SHIPLEY AVE,3,
,,139,2,14/SP60863,CONCORD WEST,R,2138,RESIDENCE,1456614,,14,STATION AVE,14,
,,139,19,29/SP2983,CONCORD WEST,R,2138,RESIDENCE,1456665,,29,STUART ST,29,
,,139,15,4/SP6929,CONCORD WEST,R,2138,RESIDENCE,1456725,,4,STUART ST,4,
,,139,13,1/SP63405,LIBERTY GROVE,R,2138,RESIDENCE,1457017,ALEXANDER PLACE,1,THORPE AVE,1,
,,139,11,14/SP63404,LIBERTY GROVE,R,2138,RESIDENCE,1457032,,14,THORPE AVE,14,
,,139,1,23/SP65077,LIBERTY GROVE,R,2138,RESIDENCE,1457055,,23,BRADLEY PL,23,
,,139,9,15/SP59012,LIBERTY GROVE,R,2138,RESIDENCE,1457056,,15,THORPE AVE,15,
,,139,20,1/SP43743,CONCORD WEST,R,2138,RESIDENCE,1457246,,1,VICTORIA AVE,1,
,,139,22,8/SP53258,CONCORD WEST,R,2138,RESIDENCE,1457253,,8,VICTORIA AVE,8,
,,139,30,17/SP6289,CONCORD WEST,R,2138,RESIDENCE,1457274,,17,VICTORIA AVE,17,
,,139,32,4/SP20629,CONCORD WEST,R,2138,RESIDENCE,1457293,,4,VICTORIA AVE,4,
,,139,17 A,2/SP61082,CONCORD WEST,R,2138,RESIDENCE,1457344,,2,VICTORIA AVE,2,
,,139,111,2/SP5586,NORTH STRATHFIELD,R,2137,RESIDENCE,1457513,,2,WELLBANK ST,2,
,,139,152,1/SP10554,NORTH STRATHFIELD,R,2137,RESIDENCE,1457662,,1,WELLBANK ST,1,
,,139,156,2/SP6583,NORTH STRATHFIELD,R,2137,RESIDENCE,1457668,,2,WELLBANK ST,2,
,,139,3,22/SP65788,LIBERTY GROVE,R,2138,RESIDENCE,1457707,,22,BRADLEY PL,22,
,,139,10,53/SP62131,LIBERTY GROVE,R,2138,RESIDENCE,1457708,,53,WENTWORTH DR,806,
,,139,2,27/SP6169031/SP61690,LIBERTY GROVE,R,2138,RESIDENCE,1457778,SCARBOROUGH APARTMENTS,31,WENTWORTH DR,31,
,,139,1 A,1/SP6305,CONCORD WEST,R,2138,RESIDENCE,1457962,,1,WUNDA RD,1,
,,139,1,8/SP38661,ABBOTSFORD,R,2046,RESIDENCE,1896798,,8,ABBOTSFORD PDE,8,
,,139,7,10/SP6549,ABBOTSFORD,R,2046,RESIDENCE,1896807,,10,ABBOTSFORD PDE,10,
,,139,11,5/SP6809,ABBOTSFORD,R,2046,RESIDENCE,1896821,,5,ABBOTSFORD PDE,5,
,,139,15,9/SP10386,ABBOTSFORD,R,2046,RESIDENCE,1896836,,9,ABBOTSFORD PDE,9,
,,139,46,2/SP52939,ABBOTSFORD,R,2046,RESIDENCE,1896877,,2,ABBOTSFORD PDE,2,
,,139,22,2/SP33159,ABBOTSFORD,R,2046,RESIDENCE,1896895,,2,ABBOTSFORD PDE,2,
,,139,20,3/SP41176,ABBOTSFORD,R,2046,RESIDENCE,1896900,,3,ABBOTSFORD PDE,3,
,,139,18,5/SP40867,ABBOTSFORD,R,2046,RESIDENCE,1896905,,5,ABBOTSFORD PDE,5,
,,139,12,2/SP60401,ABBOTSFORD,R,2046,RESIDENCE,1896913,,2,ABBOTSFORD PDE,2,
,,139,3,9/SP60565,ABBOTSFORD,R,2046,RESIDENCE,1896924,,9,ABBOTSFORD COVE DR,9,
,,139,1,1/SP58629,ABBOTSFORD,R,2046,RESIDENCE,1896953,,1,ABBOTSFORD COVE DR,1,
